iter	Passed	Remaining
1142	54427	15999
1143	54472	15951
1144	54522	15904
1145	54574	15858
1146	54623	15810
1147	54676	15764
1148	54724	15717
1149	54777	15671
1150	54828	15624
1151	54878	15577
1152	54921	15528
1153	54975	15482
1154	55022	15434
1155	55073	15388
1156	55132	15343
1157	55183	15296
1158	55237	15251
1159	55290	15204
1160	55344	15158
1161	55391	15111
1162	55444	15064
1163	55488	15016
1164	55542	14970
1165	55586	14921
1166	55633	14873
1167	55677	14825
1168	55723	14776
1169	55767	14728
1170	55819	14681
1171	55867	14634
1172	55917	14587
1173	55965	14539
1174	56014	14492
1175	56065	14445
1176	56112	14397
1177	56158	14349
1178	56203	14301
1179	56249	14253
1180	56295	14204
1181	56344	14157
1182	56391	14109
1183	56445	14063
1184	56494	14016
1185	56538	13967
1186	56587	13920
1187	56634	13872
1188	56683	13825
1189	56728	13776
1190	56781	13730
1191	56831	13683
1192	56880	13636
1193	56927	13588
1194	56970	13539
1195	57017	13491
1196	57071	13445
1197	57124	13399
1198	57172	13351
1199	57223	13304
1200	57274	13257
1201	57326	13210
1202	57370	13162
1203	57422	13115
1204	57474	13068
1205	57523	13021
1206	57568	12973
1207	57614	12925
1208	57666	12878
1209	57718	12831
1210	57766	12784
1211	57812	12735
1212	57855	12687
1213	57897	12638
1214	57943	12590
1215	57993	12543
1216	58039	12494
1217	58085	12446
1218	58133	12399
1219	58178	12350
1220	58224	12302
1221	58271	12255
1222	58317	12207
1223	58364	12159
1224	58415	12112
1225	58460	12064
1226	58511	12017
1227	58562	11970
1228	58612	11922
1229	58664	11875
1230	58709	11827
1231	58762	11781
1232	58811	11733
1233	58860	11686
1234	58906	11638
1235	58952	11590
1236	59000	11542
1237	59046	11494
1238	59097	11447
1239	59146	11399
1240	59192	11352
1241	59244	11305
1242	59293	11257
1243	59341	11209
1244	59397	11163
1245	59448	11116
1246	59493	11068
1247	59541	11020
1248	59592	10973
1249	59639	10926
1250	59691	10879
1251	59748	10832
1252	59795	10785
1253	59842	10737
1254	59886	10688
1255	59938	10641
1256	59995	10595
1257	60043	10548
1258	60093	10500
1259	60137	10452
1260	60189	10405
1261	60237	10357
1262	60283	10309
1263	60332	10262
1264	60384	10215
1265	60429	10167
1266	60475	10119
1267	60526	10071
1268	60575	10024
1269	60624	9976
1270	60668	9928
1271	60717	9880
1272	60766	9833
1273	60817	9786
1274	60866	9738
1275	60915	9691
1276	60961	9643
1277	61012	9595
1278	61059	9547
1279	61107	9500
1280	61163	9453
1281	61210	9406
1282	61257	9358
1283	61304	9310
1284	61350	9262
1285	61396	9214
1286	61442	9166
1287	61490	9118
1288	61537	9070
1289	61586	9023
1290	61634	8975
1291	61678	8927
1292	61727	8879
1293	61774	8831
1294	61816	8783
1295	61861	8735
1296	61911	8687
1297	61960	8640
1298	62010	8592
1299	62057	8544
1300	62105	8497
1301	62151	8449
1302	62197	8401
1303	62243	8353
1304	62289	8305
1305	62332	8256
1306	62379	8209
1307	62428	8161
1308	62477	8113
1309	62524	8066
1310	62568	8017
1311	62617	7970
1312	62666	7922
1313	62714	7875
1314	62759	7827
1315	62807	7779
1316	62854	7731
1317	62898	7683
1318	62944	7635
1319	62992	7587
1320	63044	7540
1321	63095	7493
1322	63144	7445
1323	63194	7398
1324	63240	7350
1325	63287	7302
1326	63334	7254
1327	63389	7207
1328	63437	7159
1329	63483	7112
1330	63526	7063
1331	63571	7015
1332	63620	6968
1333	63667	6920
1334	63715	6872
1335	63759	6824
1336	63803	6776
1337	63850	6728
1338	63896	6680
1339	63942	6632
1340	63991	6585
1341	64038	6537
1342	64084	6489
1343	64132	6441
