iter	Accuracy	MultiClass
211	0.8787574345	0.3930248021212	0.8788980871	0.39266081321213	0.878797621	0.39247043782214	0.8788177142	0.392058919
215	0.8790990195	0.3916078809
216	0.8792999518	0.3912389817
217	0.8792195788	0.39107297712218	0.8791592991	0.390820752
219	0.8791592991	0.3905533001
220	0.879320045	0.3903096304
221	0.8795008841	0.3897464705
222	0.8796817232	0.3893575173
223	0.8797018164	0.3891500311
224	0.8798223758	0.3888097805
225	0.8797821894	0.3885369913
226	0.8798223758	0.3883256984
227	0.8798826555	0.3879567992
228	0.8798826555	0.3876271446
229	0.8799630285	0.3873764109
230	0.8801639608	0.3870620617
231	0.8802041472	0.3866122402
232	0.8802845202	0.386400908
233	0.8803447999	0.3862365124
234	0.8803849863	0.3857423445
235	0.8804854525	0.3853796067
236	0.8805055457	0.3851861308
237	0.8807064781	0.3849530964
238	0.8807265713	0.3848258262
239	0.8807265713	0.3846231671
240	0.8808471307	0.3843778884
